Crop,Seed price,Days to grow,Sells for,Tiller profession,Profit/day (base),# for recipes,Total cost,Loves,Likes
Amaranth,70,7,"150, 187, 225","165, 206, 247",11.43,1,1190,-,"NOT Elliott, Caroline, Abigail, Haley, Jas, Sam, Vincent"
Artichoke,30 (year 2),8,"160, 200, 240","176, 220, 264",16.25,2,510,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
Beet,20 (oasis),6,"100, 125, 150","110, 137, 165",13.33,6,620,Evelyn,"NOT Abigail, Haley, Jas, Sam, Vincent"
Bok Choy,50,4,"80, 100, 120","88, 110, 132",7.5,1,800,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
Corn,150,14 (regrow: 4),"50, 62, 75","55, 68, 82",1.78 (Summer); 7.14 (SUMMER & FALL) ,2,3450,-,"NOT Pierre, Abigail, Haley, Jas, Sam, Vincent"
Cranberries,240,5,"75, 93, 112","82, 102, 123",18.21 (28 days),4,4560,-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
Eggplant,20,5 (regrow: 5),"60, 75, 90","66, 82, 99",10 (28 days),2,360,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
Fairy rose,200,12,"290, 362, 435","319, 398, 478",7.5,0,0,"Evelyn, Jas","NOT Clint, George, Sebastian"
Grape,60,3,"80, 100, 120","88, 110, 132",15 (28 days),0,900,Vincent,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
Pumpkin,100,13,"320, 400, 480","352, 440, 528",16.92,3,2600,"Abigail, Krobus, Willy","NOT Haley, Jas, Sam, Vincent"
Sunflower,200,8,"80, 100, 120","88, 110, 132",-15 (SUMMER & FALL) ,0,200,Haley,"NOT Clint, George, Sebastian"
Sweet gem berry,600-1000 (traveling cart),24,"3000, 3750, 4500",-,83.33,0,,-,-
Wheat,10,4,"25, 31, 37","27, 33, 40",3.75 (SUMMER & FALL),21,460,-,-
Yam,60,10,"160, 200, 240","176, 220, 264",10,2,1080,Linus,"NOT Abigail, Haley, Jas, Sam, Vincent"
