Crop,Location,Sells for,# for recipes,# for crafting,Loves,Likes
Common Mushroom,Secret Woods,"40, 50, 60, 80",3,0-1,-,"Harvey, Leah, Linus"
Daffodil,"above ground, Stardew Valley","30, 37, 45, 60",0,1,Sandy,"Caroline, Emily, Evelyn, George, Gus, Haley, Harvey, Jas, Kent, Leah, Linus, Pam, Pierre, Vincent"
Dandelion,"above ground, Stardew Valley","40, 50, 60, 80",1,1,-,"Harvey, Leah, Linus, Penny, Pierre"
Leek,"above ground, Stardew Valley (maybe more in mountains)","60, 75, 90, 120",1,1,George,"Harvey, Leah, Linus, Penny"
Morel,Secret Woods,"150, 187, 225, 300",1,1,-,"Harvey, Leah, Linus"
Salmonberry,"Spring 15-18, on bushes","5, 6, 7, 10",0,0,-,"Demetrius, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
Spring onion,Cindersap Forest,"8, 10, 12, 16",0,0,-,"Harvey, Leah, Linus"
Wild Horseradish,"above ground, Stardew Valley","50, 62, 75, 100",0,1,Krobus,"Harvey, Leah, Linus"
Cave carrot,Mines (ALL SEASONS),25,5,0,-,-
Coconut,Desert (ALL SEASONS),"100, 125, 150, 200",1,0,"Haley, Linus","Demetrius, Elliott, Harvey, Jas, Jodi, Kent, Leah, Lewis, Pam, Robin, Sandy, Shane, VIncent"
